Customer Name,Recency,Frequency,Monetary,R_score,F_score,M_score,RFM_Score,Segment
Anthony Johnson,167,7,4501.391,2,3,4,234,At Risk
Anthony O'Donnell,502,1,161.28,1,1,1,111,Lost
Anthony Rawles,59,8,4523.336,3,3,4,334,Loyal Customers
Anthony Witt,21,4,649.3760000000001,4,1,1,411,Regular
Arianne Irving,14,10,4375.786,4,4,4,444,Champions
Art Ferguson,42,7,2052.908,3,3,2,332,Loyal Customers
Art Foster,416,4,861.565,1,1,1,111,Lost
Arthur Gainer,97,10,4510.7970000000005,2,4,4,244,At Risk
Arthur Prichep,99,10,3323.556,2,4,3,243,At Risk
Arthur Wiediger,47,7,2852.9680000000003,3,3,3,333,Loyal Customers
Ashley Jarboe,86,7,1839.24,2,3,2,232,At Risk
Astrea Jones,75,3,629.2479999999999,3,1,1,311,Regular
Barbara Fisher,92,7,599.798,2,3,1,231,At Risk
Barry Blumstein,106,5,744.34,2,2,1,221,Regular
Barry Franz,40,4,1333.88,3,1,2,312,Regular
Barry Französisch,75,8,2888.506,3,3,3,333,Loyal Customers
Barry Gonzalez,29,8,2798.948,4,3,3,433,Loyal Customers
Barry Pond,84,5,983.42,2,2,1,221,Regular
Barry Weirich,213,3,385.516,1,1,1,111,Lost
Bart Folk,26,3,272.95,4,1,1,411,Regular
Bart Pistole,18,14,3350.874,4,4,3,443,Loyal Customers
Bart Watters,122,8,4750.358,2,3,4,234,At Risk
Becky Castell,203,9,2933.676,1,4,3,143,At Risk
Becky Martin,308,4,11789.630000000001,1,1,4,114,Lost
Becky Pak,90,6,1697.861,2,2,2,222,Regular
Ben Ferrer,17,13,8430.144,4,4,4,444,Champions
Ben Peterman,2,9,3675.861,4,4,3,443,Loyal Customers
Ben Wallace,204,6,1738.4060000000002,1,2,2,122,Regular
Benjamin Farhat,66,4,1585.162,3,1,2,312,Regular
Benjamin Patterson,40,5,1181.49,3,2,2,322,Regular
Benjamin Venier,335,5,1523.273,1,2,2,122,Regular
Berenike Kampe,78,6,659.1379999999999,2,2,1,221,Regular
Beth Fritzler,58,3,791.99,3,1,1,311,Regular
Beth Paige,13,7,2475.157,4,3,3,433,Loyal Customers
Beth Thompson,337,5,2567.656,1,2,3,123,Regular
Bill Donatelli,34,12,5718.521,3,4,4,344,Loyal Customers
Bill Eplett,120,5,4204.6759999999995,2,2,4,224,Regular
Bill Overfelt,138,5,2682.728,2,2,3,223,Regular
Bill Shonely,559,5,10501.653,1,2,4,124,Regular
Bill Stewart,29,5,3887.834,4,2,4,424,Regular
Bill Tyler,303,6,2186.6130000000003,1,2,2,122,Regular
Bobby Elias,99,5,2261.438,2,2,3,223,Regular
Bobby Odegard,76,2,130.83,2,1,1,211,Regular
Bobby Trafton,561,4,603.876,1,1,1,111,Lost
Brad Eason,255,6,1727.652,1,2,2,122,Regular
Brad Norvell,25,4,265.296,4,1,1,411,Regular
Brad Thomas,660,2,415.19599999999997,1,1,1,111,Lost
Bradley Drucker,36,6,4411.2429999999995,3,2,4,324,Regular
Bradley Nguyen,10,5,1459.344,4,2,2,422,Regular
Bradley Talbott,92,5,2684.4919999999997,2,2,3,223,Regular
Brenda Bowman,29,9,6765.728,4,4,4,444,Champions
Brendan Dodson,279,2,320.54,1,1,1,111,Lost
Brendan Murry,101,6,808.162,2,2,1,221,Regular
Brendan Sweed,36,6,2454.928,3,2,3,323,Regular
Brian Dahlen,98,9,3332.8709999999996,2,4,3,243,At Risk
Brian DeCherney,70,6,1538.11,3,2,2,322,Regular
Brian Derr,10,3,582.646,4,1,1,411,Regular
Brian Moss,34,11,7294.185,3,4,4,344,Loyal Customers
Brian Stugart,583,3,3288.1099999999997,1,1,3,113,Lost
Brian Thompson,21,7,3196.752,4,3,3,433,Loyal Customers
Brooke Gillingham,37,6,1874.172,3,2,2,322,Regular
Brosina Hoffman,24,8,6255.351,4,3,4,434,Loyal Customers
Bruce Degenhardt,94,6,1526.5,2,2,2,222,Regular
Bruce Galang,2,5,609.88,4,2,1,421,Regular
Bruce Geld,58,6,1006.356,3,2,1,321,Regular
Bruce Stewart,2,7,2562.382,4,3,3,433,Loyal Customers
Bryan Davis,328,6,658.466,1,2,1,121,Regular
Bryan Mills,219,10,1338.842,1,4,2,142,At Risk
Bryan Spruell,266,2,949.4300000000001,1,1,1,111,Lost
Candace McMahon,132,6,1673.8880000000001,2,2,2,222,Regular
Cari Sayre,92,5,1278.954,2,2,2,222,Regular
Cari Schnelling,163,6,537.632,2,2,1,221,Regular
Carl Jackson,366,1,16.52,1,1,1,111,Lost
Carl Ludwig,107,4,1262.0140000000001,2,1,2,212,Regular
Carl Weiss,23,6,1136.592,4,2,2,422,Regular
Carlos Daly,41,5,2033.9679999999998,3,2,2,322,Regular
Carlos Meador,708,2,565.392,1,1,1,111,Lost
Carlos Soltero,26,11,3036.547,4,4,3,443,Loyal Customers
Carol Adams,97,6,3789.7228,2,2,3,223,Regular
Carol Darley,55,3,639.766,3,1,1,311,Regular
Carol Triggs,97,11,4503.618,2,4,4,244,At Risk
Caroline Jumper,190,8,11164.974,1,3,4,134,At Risk
Cassandra Brandow,48,10,6076.139,3,4,4,344,Loyal Customers
Catherine Glotzbach,50,6,904.468,3,2,1,321,Regular
Cathy Armstrong,402,5,1679.7240000000002,1,2,2,122,Regular
Cathy Hwang,691,3,1537.236,1,1,2,112,Lost
Cathy Prescott,83,8,5402.254,2,3,4,234,At Risk
Chad Cunningham,458,6,1770.945,1,2,2,122,Regular
Chad McGuire,9,4,1661.6100000000001,4,1,2,412,Regular
Chad Sievert,490,4,884.64,1,1,1,111,Lost
Charles Crestani,107,7,2471.65,2,3,3,233,At Risk
Charles McCrossin,27,6,2533.314,4,2,3,423,Regular
Charles Sheldon,233,5,844.4580000000001,1,2,1,121,Regular
Charlotte Melton,9,6,1475.144,4,2,2,422,Regular
Chloris Kastensmidt,40,13,3154.855,3,4,3,343,Loyal Customers
Chris Cortes,21,12,3913.418,4,4,4,444,Champions
Chris McAfee,386,5,2305.712,1,2,3,123,Regular
Chris Selesnick,27,12,2754.216,4,4,3,443,Loyal Customers
Christina Anderson,57,9,2648.2872,3,4,3,343,Loyal Customers
Christina DeMoss,43,2,1205.584,3,1,2,312,Regular
Christina VanderZanden,255,5,2830.628,1,2,3,123,Regular
Christine Abelman,14,4,1421.954,4,1,2,412,Regular
Christine Kargatis,121,5,2945.321,2,2,3,223,Regular
Christine Phan,161,8,5888.275,2,3,4,234,At Risk
Christine Sundaresam,7,11,3202.1620000000003,4,4,3,443,Loyal Customers
Christopher Conant,44,5,12129.072,3,2,4,324,Regular
Christopher Martinez,38,4,8954.02,3,1,4,314,Regular
Christopher Schild,3,9,3651.8585000000003,4,4,3,443,Loyal Customers
Christy Brittain,27,8,1949.2000000000003,4,3,2,432,Loyal Customers
Chuck Clark,1,12,4606.952,4,4,4,444,Champions
Chuck Magee,437,3,287.99,1,1,1,111,Lost
Chuck Sachs,28,2,550.644,4,1,1,411,Regular
Cindy Chapman,40,9,1659.438,3,4,2,342,Loyal Customers
Cindy Schnelling,425,4,1077.2285,1,1,1,111,Lost
Cindy Stewart,59,6,5690.055,3,2,4,324,Regular
Claire Gute,339,3,1148.78,1,1,2,112,Lost
Claudia Bergmann,198,8,4246.4555,1,3,4,134,At Risk
Clay Cheatham,28,3,113.832,4,1,1,411,Regular
Clay Ludtke,285,12,10880.546,1,4,4,144,At Risk
Clay Rozendal,58,4,2148.852,3,1,2,312,Regular
Clytie Kelty,44,11,2372.75,3,4,3,343,Loyal Customers
Corey Catlett,35,7,2540.631,3,3,3,333,Loyal Customers
Corey Roper,471,3,475.9,1,1,1,111,Lost
Corey-Lock,550,5,1300.076,1,2,2,122,Regular
Corinna Mitchell,28,6,6339.5576,4,2,4,424,Regular
Craig Carreira,30,7,2269.7015,4,3,3,433,Loyal Customers
Craig Carroll,799,4,2854.1150000000002,1,1,3,113,Lost
Craig Leslie,106,5,2353.5860000000002,2,2,3,223,Regular
Craig Molinari,1035,4,3984.4524,1,1,4,114,Lost
Craig Reiter,79,4,1600.55,2,1,2,212,Regular
Craig Yedwab,61,8,2900.026,3,3,3,333,Loyal Customers
Cyma Kinney,83,9,1582.109,2,4,2,242,At Risk
Cynthia Arntzen,121,7,3041.566,2,3,3,233,At Risk
Cynthia Delaney,400,5,1860.732,1,2,2,122,Regular
Cynthia Voltz,6,9,2370.3136,4,4,3,443,Loyal Customers
Cyra Reiten,86,3,1397.8724,2,1,2,212,Regular
Damala Kotsonis,22,12,3256.48,4,4,3,443,Loyal Customers
Dan Campbell,38,9,3336.168,3,4,3,343,Loyal Customers
Dan Lawera,101,8,1503.112,2,3,2,232,At Risk
Dan Reichenbach,4,9,6528.034,4,4,4,444,Champions
Dana Kaydos,46,5,4282.176,3,2,4,324,Regular
Daniel Byrd,22,8,2171.5989999999997,4,3,2,432,Loyal Customers
Daniel Lacy,58,6,3272.2,3,2,3,323,Regular
Daniel Raglin,51,8,8350.868,3,3,4,334,Loyal Customers
Dario Medina,115,7,1322.034,2,3,2,232,At Risk
Darren Budd,242,5,2839.2272000000003,1,2,3,123,Regular
Darren Koutras,8,5,1687.04,4,2,2,422,Regular
Darren Powers,127,9,1050.636,2,4,1,241,At Risk
Darrin Martin,58,7,6345.103,3,3,4,334,Loyal Customers
Darrin Sayre,94,4,1762.213,2,1,2,212,Regular
Darrin Van Huff,20,5,1119.483,4,2,2,422,Regular
Dave Brooks,17,7,4531.646,4,3,4,434,Loyal Customers
Dave Hallsten,278,6,4932.872,1,2,4,124,Regular
Dave Kipp,43,7,2650.557,3,3,3,333,Loyal Customers
Dave Poirier,7,8,2215.002,4,3,2,432,Loyal Customers
David Bremer,49,7,2973.094,3,3,3,333,Loyal Customers
David Flashing,700,3,2390.534,1,1,3,113,Lost
David Kendrick,11,2,797.832,4,1,1,411,Regular
David Philippe,812,2,1058.616,1,1,1,111,Lost
David Smith,24,9,2881.8128,4,4,3,443,Loyal Customers
David Wiener,70,6,1080.751,3,2,1,321,Regular
Dean Braden,10,10,2332.577,4,4,3,443,Loyal Customers
Dean Katz,11,9,4802.394,4,4,4,444,Champions
Dean percer,85,11,7198.761,2,4,4,244,At Risk
Deanra Eno,719,5,2550.874,1,2,3,123,Regular
Deborah Brumfield,54,8,4655.897,3,3,4,334,Loyal Customers
Debra Catini,24,5,1174.618,4,2,2,422,Regular
Deirdre Greer,33,5,3195.818,3,2,3,323,Regular
Delfina Latchford,23,8,1458.258,4,3,2,432,Loyal Customers
Denise Leinenbach,58,4,585.0200000000001,3,1,1,311,Regular
Denise Monton,23,8,4074.4719999999993,4,3,4,434,Loyal Customers
Dennis Bolton,265,5,1081.466,1,2,1,121,Regular
Dennis Kane,20,8,3318.486,4,3,3,433,Loyal Customers
Dennis Pardue,359,9,5480.724,1,4,4,144,At Risk
Denny Blanton,145,8,3674.684,2,3,3,233,At Risk
Denny Joy,638,4,2012.52,1,1,2,112,Lost
Denny Ordway,134,9,1300.0315,2,4,2,242,At Risk
Dianna Arnett,353,4,156.76,1,1,1,111,Lost
Dianna Vittorini,30,6,3341.587,4,2,3,423,Regular
Dianna Wilson,218,5,5271.628,1,2,4,124,Regular
Dionis Lloyd,77,8,3539.322,2,3,3,233,At Risk
Don Jones,49,8,2501.688,3,3,3,333,Loyal Customers
Don Miller,482,3,1376.792,1,1,2,112,Lost
Don Weiss,99,5,344.08,2,2,1,221,Regular
Dorothy Badders,108,7,3908.8028,2,3,4,234,At Risk
Dorothy Dickinson,42,6,269.542,3,2,1,321,Regular
Dorothy Wardle,243,7,1204.854,1,3,2,132,At Risk
Dorris liebe,120,5,755.602,2,2,1,221,Regular
Doug Bickford,34,7,1989.0500000000002,3,3,2,332,Loyal Customers
Doug Jacobs,13,3,3356.398,4,1,3,413,Regular
Doug O'Connell,27,9,2043.296,4,4,2,442,Loyal Customers
Duane Benoit,13,7,1155.202,4,3,2,432,Loyal Customers
Duane Huffman,776,4,1043.096,1,1,1,111,Lost
Duane Noonan,218,7,2139.79,1,3,2,132,At Risk
Ed Braxton,49,9,3644.978,3,4,3,343,Loyal Customers
Ed Jacobs,303,4,2162.174,1,1,2,112,Lost
Ed Ludwig,78,2,124.28,2,1,1,211,Regular
Edward Becker,36,10,3236.314,3,4,3,343,Loyal Customers
Edward Hooks,136,12,10310.880000000001,2,4,4,244,At Risk
Edward Nazzal,288,4,2199.366,1,1,2,112,Lost
Eileen Kiefer,45,4,1303.4779999999998,3,1,2,312,Regular
Eleni McCrary,133,5,2567.0099999999998,2,2,3,223,Regular
Elizabeth Moffitt,56,8,2339.598,3,3,3,333,Loyal Customers
Ellis Ballard,91,5,4358.128,2,2,4,224,Regular
Elpida Rittenbach,422,3,1245.788,1,1,2,112,Lost
Emily Burns,101,10,2767.219,2,4,3,243,At Risk
Emily Ducich,136,8,3484.92,2,3,3,233,At Risk
Emily Grady,23,5,1832.02,4,2,2,422,Regular
Emily Phan,13,17,5478.0608,4,4,4,444,Champions
Eric Barreto,162,5,944.6000000000001,2,2,1,221,Regular
Eric Hoffmann,218,8,684.1709999999999,1,3,1,131,At Risk
Eric Murdock,152,5,933.704,2,2,1,221,Regular
Erica Bern,1,4,1643.255,4,1,2,412,Regular
Erica Hackney,406,6,825.95,1,2,1,121,Regular
Erica Hernandez,3,7,1219.53,4,3,2,432,Loyal Customers
Erica Smith,41,5,3510.458,3,2,3,323,Regular
Erin Ashbrook,153,13,2846.705,2,4,3,243,At Risk
Erin Creighton,54,5,461.914,3,2,1,321,Regular
Erin Mull,48,4,228.99,3,1,1,311,Regular
Erin Smith,29,9,4657.924,4,4,4,444,Champions
Eudokia Martin,114,4,1041.0420000000001,2,1,1,211,Regular
Eugene Barchas,114,6,3071.126,2,2,3,223,Regular
Eugene Hildebrand,73,14,3143.4829999999997,3,4,3,343,Loyal Customers
Eugene Moren,49,6,4588.436,3,2,4,324,Regular
Eva Jacobs,58,5,2656.691,3,2,3,323,Regular
Evan Bailliet,83,6,1186.326,2,2,2,222,Regular
Evan Henry,106,6,923.884,2,2,1,221,Regular
Evan Minnotte,159,3,366.822,2,1,1,211,Regular
Filia McAdams,8,10,2456.638,4,4,3,443,Loyal Customers
Frank Atkinson,98,7,2984.054,2,3,3,233,At Risk
Frank Carlisle,71,7,3418.742,3,3,3,333,Loyal Customers
Frank Gastineau,35,11,2124.784,3,4,2,342,Loyal Customers
Frank Hawley,38,10,4256.272,3,4,4,344,Loyal Customers
Frank Merwin,37,9,3736.1980000000003,3,4,3,343,Loyal Customers
Frank Olsen,39,10,2678.438,3,4,3,343,Loyal Customers
Frank Preis,24,8,4046.746,4,3,4,434,Loyal Customers
Fred Chung,185,7,3889.366,1,3,4,134,At Risk
Fred Harton,213,4,2271.284,1,1,3,113,Lost
Fred Hopkins,6,8,6987.196,4,3,4,434,Loyal Customers
Fred McMath,22,11,2731.996,4,4,3,443,Loyal Customers
Fred Wasserman,363,3,79.75,1,1,1,111,Lost
Gary Hansen,76,9,2819.467,2,4,3,243,At Risk
Gary Hwang,51,4,4172.846,3,1,4,314,Regular
Gary McGarr,84,7,3582.82,2,3,3,233,At Risk
Gary Mitchum,17,6,3078.6240000000003,4,2,3,423,Regular
Gary Zandusky,8,9,4355.15,4,4,4,444,Champions
Gene Hale,388,2,1361.2440000000001,1,1,2,112,Lost
Gene McClure,107,10,1255.682,2,4,2,242,At Risk
George Ashbrook,150,8,3919.7760000000003,2,3,4,234,At Risk
George Bell,63,11,1568.44,3,4,2,342,Loyal Customers
George Zrebassa,158,8,2529.11,2,3,3,233,At Risk
Georgia Rosenberg,1136,2,1284.38,1,1,2,112,Lost
Giulietta Baptist,14,5,4716.288,4,2,4,424,Regular
Giulietta Dortch,6,4,1888.07,4,1,2,412,Regular
Giulietta Weimer,29,7,2189.0190000000002,4,3,2,432,Loyal Customers
Grace Kelly,113,9,6497.27,2,4,4,244,At Risk
Grant Thornton,57,3,9351.212,3,1,4,314,Regular
Greg Guthrie,44,11,8584.092,3,4,4,344,Loyal Customers
Greg Hansen,3,2,146.9408,4,1,1,411,Regular
Greg Matthias,153,6,3163.628,2,2,3,223,Regular
Greg Maxwell,118,3,6049.966,2,1,4,214,Regular
Greg Tran,37,11,11820.119999999999,3,4,4,344,Loyal Customers
Guy Armstrong,6,11,1398.382,4,4,2,442,Loyal Customers
Guy Phonely,765,2,236.53,1,1,1,111,Lost
Guy Thornton,35,4,226.436,3,1,1,311,Regular
Hallie Redmond,14,5,1299.288,4,2,2,422,Regular
Harold Dahlen,769,3,251.36,1,1,1,111,Lost
Harold Engle,13,4,883.532,4,1,1,411,Regular
Harold Pawlan,31,7,1990.314,3,3,2,332,Loyal Customers
Harold Ryan,160,7,5248.787,2,3,4,234,At Risk
Harry Greene,55,5,785.628,3,2,1,321,Regular
Harry Marie,3,10,8236.7648,4,4,4,444,Champions
Harry Olson,1,4,1087.916,4,1,1,411,Regular
Heather Jas,127,5,358.1,2,2,1,221,Regular
Heather Kirkland,152,8,4877.784000000001,2,3,4,234,At Risk
Helen Abelman,70,7,2163.2999999999997,3,3,2,332,Loyal Customers
Helen Andreada,21,8,2584.158,4,3,3,433,Loyal Customers
Helen Wasserman,118,8,9300.254,2,3,4,234,At Risk
Henia Zydlo,36,5,886.52,3,2,1,321,Regular
Henry Goldwyn,24,12,3247.642,4,4,3,443,Loyal Customers
Henry MacAllister,248,4,736.276,1,1,1,111,Lost
Herbert Flentye,22,7,2533.1639999999998,4,3,3,433,Loyal Customers
Hilary Holden,73,2,218.668,3,1,1,311,Regular
Hunter Glantz,7,7,3690.284,4,3,3,433,Loyal Customers
Hunter Lopez,44,6,12873.297999999999,3,2,4,324,Regular
Ionia McGrath,410,3,2872.63,1,1,3,113,Lost
Irene Maddox,391,7,4930.474,1,3,4,134,At Risk
Ivan Gibson,72,4,744.574,3,1,1,311,Regular
Ivan Liston,143,7,5040.736,2,3,4,234,At Risk
Jack Garza,758,3,2358.676,1,1,3,113,Lost
Jack Lebron,9,6,1214.956,4,2,2,422,Regular
Jack O'Briant,58,9,3254.949,3,4,3,343,Loyal Customers
James Galang,2,11,6366.392,4,4,4,444,Champions
James Lanier,7,5,1571.523,4,2,2,422,Regular
James Peterman,2,5,515.2,4,2,1,421,Regular
Jamie Frazer,66,7,2279.5860000000002,3,3,3,333,Loyal Customers
Jamie Kunitz,62,5,4427.142,3,2,4,324,Regular
Jane Waco,43,10,8846.354000000001,3,4,4,344,Loyal Customers
Janet Lee,120,5,2203.7,2,2,2,222,Regular
Janet Martin,38,6,3159.1220000000003,3,2,3,323,Regular
Janet Molinari,38,5,1804.146,3,2,2,322,Regular
Jas O'Carroll,93,6,1934.272,2,2,2,222,Regular
Jason Fortune-,226,5,955.124,1,2,1,121,Regular
Jason Gross,3,6,2240.58,4,2,2,422,Regular
Jason Klamczynski,288,3,383.812,1,1,1,111,Lost
Jasper Cacioppo,115,4,71.263,2,1,1,211,Regular
Jay Fein,106,6,1911.844,2,2,2,222,Regular
Jay Kimmel,45,8,2709.632,3,3,3,333,Loyal Customers
Jenna Caffey,176,1,1058.1080000000002,2,1,1,211,Regular
Jennifer Braxton,8,12,1830.4850000000001,4,4,2,442,Loyal Customers
Jennifer Ferguson,3,6,2371.4480000000003,4,2,3,423,Regular
Jennifer Halladay,6,4,309.281,4,1,1,411,Regular
Jennifer Jackson,484,5,709.178,1,2,1,121,Regular
Jennifer Patt,38,7,1669.135,3,3,2,332,Loyal Customers
Jennifer Sheldon,96,2,19.98,2,1,1,211,Regular
Jeremy Ellison,194,6,1388.682,1,2,2,122,Regular
Jeremy Farry,122,11,1082.918,2,4,1,241,At Risk
Jeremy Lonsdale,50,6,3173.874,3,2,3,323,Regular
Jeremy Pistek,9,7,3635.594,4,3,3,433,Loyal Customers
Jessica Myrick,103,9,2070.063,2,4,2,242,At Risk
Jesus Ocampo,216,5,1090.838,1,2,1,121,Regular
Jill Fjeld,55,8,4198.332,3,3,4,334,Loyal Customers
Jill Matthias,1,5,303.948,4,2,1,421,Regular
Jill Stevenson,120,4,1417.654,2,1,2,212,Regular
Jill Trafton,287,2,144.588,1,1,1,111,Lost
Jim Epp,49,7,7754.976,3,3,4,334,Loyal Customers
Jim Karlsson,62,7,3760.0280000000002,3,3,3,333,Loyal Customers
Jim Kriz,181,9,4760.433999999999,1,4,4,144,At Risk
Jim Mitchum,9,5,864.947,4,2,1,421,Regular
Jim Radford,594,2,1156.658,1,1,2,112,Lost
Jim Sink,43,4,1131.064,3,1,2,312,Regular
Jocasta Rupert,69,1,863.88,3,1,1,311,Regular
Joe Elijah,47,12,10461.458999999999,3,4,4,344,Loyal Customers
Joe Kamberova,85,10,4867.2,2,4,4,244,At Risk
Joel Eaton,52,13,6760.815,3,4,4,344,Loyal Customers
Joel Jenkins,753,2,195.0,1,1,1,111,Lost
John Castell,159,9,2772.055,2,4,3,243,At Risk
John Dryer,118,5,2152.3520000000003,2,2,2,222,Regular
John Grady,224,6,1507.018,1,2,2,122,Regular
John Huston,175,6,528.91,2,2,1,221,Regular
John Lee,22,11,9799.923,4,4,4,444,Champions
John Lucas,615,6,2725.256,1,2,3,123,Regular
John Murray,110,7,7625.076,2,3,4,234,At Risk
John Stevenson,535,5,3868.02,1,2,4,124,Regular
Jonathan Doherty,395,11,7610.8640000000005,1,4,4,144,At Risk
Jonathan Howell,42,7,959.477,3,3,1,331,Loyal Customers
Joni Blumstein,737,3,900.5519999999999,1,1,1,111,Lost
Joni Sundaresam,464,5,469.169,1,2,1,121,Regular
Joni Wasserman,6,7,1244.086,4,3,2,432,Loyal Customers
Joseph Airdo,93,8,6491.026,2,3,4,234,At Risk
Joseph Holt,30,6,7954.9980000000005,4,2,4,424,Regular
Joy Bell-,44,7,644.1188,3,3,1,331,Loyal Customers
Joy Daniels,113,6,385.43,2,2,1,221,Regular
Joy Smith,29,6,2516.494,4,2,3,423,Regular
Julia Barnett,8,5,2518.1150000000002,4,2,3,423,Regular
Julia Dunbar,301,3,695.442,1,1,1,111,Lost
Julia West,462,4,1428.731,1,1,2,112,Lost
Juliana Krohn,29,3,3747.668,4,1,3,413,Regular
Julie Creighton,58,5,858.576,3,2,1,321,Regular
Julie Kriz,118,10,2932.484,2,4,3,243,At Risk
Julie Prescott,103,9,1707.71,2,4,2,242,At Risk
Justin Deggeller,42,8,8828.0305,3,3,4,334,Loyal Customers
Justin Ellison,21,3,2697.248,4,1,3,413,Regular
Justin Hirsh,405,4,2256.394,1,1,3,113,Lost
Justin MacKendrick,58,10,2833.9260000000004,3,4,3,343,Loyal Customers
Justin Ritter,34,5,2201.686,3,2,2,322,Regular
Kalyca Meade,15,6,2260.958,4,2,3,423,Regular
Karen Bern,5,7,3152.6150000000002,4,3,3,433,Loyal Customers
Karen Carlisle,408,6,2120.954,1,2,2,122,Regular
Karen Daniels,485,5,8282.358,1,2,4,124,Regular
Karen Ferguson,98,7,10604.266,2,3,4,234,At Risk
Karen Seio,296,3,88.47200000000001,1,1,1,111,Lost
Karl Braun,297,9,1569.464,1,4,2,142,At Risk
Katharine Harms,41,8,3312.864,3,3,3,333,Loyal Customers
Katherine Ducich,42,6,1888.964,3,2,2,322,Regular
Katherine Hughes,2,6,3100.612,4,2,3,423,Regular
Katherine Murray,57,8,5620.186,3,3,4,334,Loyal Customers
Katherine Nockton,20,9,2617.272,4,4,3,443,Loyal Customers
Katrina Bavinger,118,3,908.821,2,1,1,211,Regular
Katrina Edelman,27,8,1686.7312,4,3,2,432,Loyal Customers
Katrina Willman,97,5,4416.52,2,2,4,224,Regular
Kean Nguyen,53,5,2171.962,3,2,2,322,Regular
Kean Takahito,392,7,3057.1,1,3,3,133,At Risk
Kean Thornton,101,10,4642.088400000001,2,4,4,244,At Risk
Keith Dawkins,113,12,8181.256,2,4,4,244,At Risk
Keith Herrera,23,7,5952.859,4,3,4,434,Loyal Customers
Kelly Andreada,37,7,1519.506,3,3,2,332,Loyal Customers
Kelly Collister,98,4,3908.2619999999997,2,1,4,214,Regular
Kelly Lampkin,17,8,5016.488,4,3,4,434,Loyal Customers
Kelly Williams,771,4,449.096,1,1,1,111,Lost
Ken Black,231,12,2744.742,1,4,3,143,At Risk
Ken Brennan,2,7,983.922,4,3,1,431,Loyal Customers
Ken Dana,290,5,2243.51,1,2,2,122,Regular
Ken Heidel,59,9,3918.9660000000003,3,4,4,344,Loyal Customers
Ken Lonsdale,48,12,14175.229,3,4,4,344,Loyal Customers
Khloe Miller,16,5,453.538,4,2,1,421,Regular
